x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-1.75,0.5,2.7825,-0.879163,0.00375709,0.00446818,0.00476128,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-1.75,0.25,2.83893,-0.924147,0.00353951,0.00446818,0.00462135,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,0.5,1.10935,-0.653102,0.00636272,0.00312773,0.00433728,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3.75,1.25,0.77383,-0.940397,0.00636145,0.00312773,0.00433685,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3.75,0.5,0.894656,-0.813983,0.00636144,0.00312773,0.00433684,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3.25,0.5,1.33637,-0.54703,0.0063551,0.00312773,0.00433468,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3.25,1.5,1.32932,-0.549513,0.00635393,0.00312773,0.00433428,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.25,1.75,0.777137,-0.936503,0.00635079,0.00312773,0.00433321,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4,2.25,1.33221,-0.548489,0.00634419,0.00312773,0.00433096,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3.25,0.25,1.4502,-0.513363,0.0063432,0.00312773,0.00433062,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4,1.25,0.541826,-1.29957,0.00633506,0.00312773,0.00432784,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4,0.75,0.55043,-1.28238,0.00632053,0.00312773,0.00432287,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3,0.5,1.57039,-0.490206,0.00631742,0.00312773,0.00432181,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3,1.5,1.56439,-0.491073,0.00631414,0.00312773,0.00432069,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3,0.25,1.66833,-0.480166,0.00628379,0.00312773,0.00431029,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3,1.75,1.65986,-0.480731,0.00627659,0.00312773,0.00430782,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
