x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,ev_chair,post_chair,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_tv,post_tv,ev_empty_floor,post_empty_floor
0.25,5,1.61243,-0.539167,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0,5,1.66485,-0.0408829,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.25,5,1.75173,-0.086264,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.5,5,1.86825,-0.531058,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.75,5,2.00927,-1.18588,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1,5,2.17002,-1.85752,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.25,5,2.34645,-2.38392,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.5,5,2.53528,-2.70291,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.75,5,2.73394,-2.86174,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-2.25,5,3.15327,-2.96567,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
2,4.75,2.39968,-2.9957,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.75,4.75,2.2484,-2.99553,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.25,4.75,2.00597,-2.98189,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1,4.75,1.92243,-2.89015,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
-1.25,5.25,2.18393,-2.75927,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1,5.25,1.99317,-2.42095,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.75,5.25,1.81684,-1.79751,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.75,5.5,2.47526,-2.98764,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.75,5.5,1.13303,-2.83386,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.5,5.5,1.09798,-1.61981,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,5.5,1.1191,-0.27084,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0,5.5,1.1934,-0.0504784,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.25,5.5,1.31188,-0.720434,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.5,5.5,1.46384,-1.70789,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.75,5.5,1.64002,-2.47174,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1,5.5,1.83343,-2.82301,0.00236407,0.00236407,0.00236407,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.25,5.5,2.03919,-2.93944,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.5,5.5,2.25391,-2.9756,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-2.25,5.5,2.93182,-2.99393,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.5,5.25,1.65955,-0.991859,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
2,5.25,2.03984,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.75,5.25,1.8595,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
